Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
,,,,,,,,,,, ,,programming exercises and course project ,5 CP (Bachelor und Master) ,,Fertigungsablauf. ,Ultraschall-Bildgebung , ,, 
,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,, , ,, , ,Seite 513   Inhaltsverzeichnis ,, 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,150 h ,Voraussetzungen nach ,, , ,     ,, 
,,,,,,,,,,,FIN: M.Sc. DKE - Bereich Methods II ,,2h per Week Lecture = 26h ,Prüfungsordnung: ,,Lernziele & zu erwerbende Kompetenzen: ,"Grundbegriffe der Systemtheorie (Systeme,Signale, statische ", ,,Seite 240   Inhaltsverzeichnis 
,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,2h per Week Exercise = 26h , ,,Kenntnisse der Wirkprinzipien der Verfahren der ,und dynamische Systeme)Beispiele für dynamische Systeme , ,,     
,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,approx. 3h Recap and Self study of Lecture per Week ~ 40h ,5 ,,Fertigungstechnik ,"(Geometrisches Wachstum, Einfaches Populationsmodell, ",Mündliche Prüfung ,, 
,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,approx. 5h Preparation of Exercise Tasks~ 58h ,Voraussetzungen nach ,,"Kenntnisse der Berechnungsgrundlagen (Kräfte, Momente,….) ","Modell einer isolierten Volkswirtschaft, Exponentielles ", ,, 
,,,,,,,,,,, ,, ,Prüfungsordnung: ,,der Verfahren ,"Wachstum, Räuber-Beute-Modell, Elektrisches Netzwerk, ",Mündliche Prüfung ,,"Baumgartner, C.: Die Digitalisierung findet statt. Interview mit "
,,,,,,,,,,, ,,150 Stunden (56 h Präsenzzeit + 94 h selbständiges Arbeiten) , ,,Studenten können die Fertigung von Produkten unter der ,Mechanische Systeme)Klassifikation kausaler Systeme , ,,"August-Wilhelm Scheer. In Computerwelt, 2015, 2015; S. 4. "
,,,,,,,,,,,FIN: B.Sc. INF ,, , ,,"Berück-sichtigung von Wirtschaftlichkeit, Produktivität und ","(Linearität, Zeitinvarianz, Autonomie)Differenzengleichungen ",Klausur 120 min ,,"Brantl, S. : Wirtschaftsethik. Beitrag in Gabler Wirtschafts-"
,,,,,,,,,,, ,,150 h (70 h contact hours + 80 h complementary reading and ,"6 Credit Points = 180h (56h in class + 124h self study), ",,Qualität beschreiben und erklären , , ,,"Lexikon. Gabler, Wiesbaden, 1988. Bundesverfassungsgericht, "
,,,,,,,,,,, ,,project work) ,grading scheme according to exam regulations ,, , , ,,"vom 15.12. 1983, Aktenzeichen 1 BvR 209, 269, 362, 420, 440, "
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Interdisziplinäres Teamprojekt ,,Präsenzzeiten: , ,, ,Seite 206   Inhaltsverzeichnis , ,,"484/83, „Volkszählungsurteil“, zitiert nach [Fili15, S.10] "
,,,,,,,,,,, ,,3 SWS ,Voraussetzungen nach ,,Lernziele & erworbene Kompetenzen: ,     ,Seite 519   Inhaltsverzeichnis ,,"Filipovic, A.: Die Datafizierung der Welt – Eine ethische "
,,,,,,,,,,, ,,Selbstständiges Arbeiten: ,Prüfungsordnung: ,,Selbstständige Erarbeitung eines anspruchsvollen Themas , ,     ,,"Vermessung des digitalen Wandels. Communicatio Socialis, 48 "
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Informatikgrundlagen für Ingenieure ,,5 x30h (42 h Präsenzzeit + 108 h selbstständige Arbeit) , ,,Mündliche Präsentation eines anspruchsvollen Themas ,"(Autonome Differenzengleichungen, Autonome lineare ", ,,"Jg. 2015, H.1 Frey, C. B.; Osborne, M.: Technology at Work - The "
,,,,,,,,,,,FIN: M.Sc. VC - Visual Computing - Pflichtfächer ,,6 Credit Points = 6*30h = 180h ,8 ,,Verständnis von Fragen der Ethik des Einsatzes von ,Differenzengleichungen)Differentialgleichungen (Autonome , ,,future of innovation and employment. In Citi GPS: Global 
,,,,,,,,,,,FIN: M.Sc. VC - Visual Computing ,,Präsenzzeiten = 42h: ,Voraussetzungen nach ,,Informationstechnologien ,"Differentialgleichungen, Autonome lineare ", ,,"Perspectives & Solutions, 2015. Hausmanninger, Th./ Capurro, "
,,,,,,,,,,, ,,28h Vorlesung14h Übung ,Prüfungsordnung: ,, ,Differentialgleichungen)Steuerung und Regelung , ,,"R. (2002): Eine Schriftenreihe stellt sich vor. In Hausmanninger, "
,,,,,,,,,,, ,,Selbstständiges Arbeiten = 138h:54h Vor- und Nachbereitung ,Technische Mechanik im Umfang von 6-8 SWS; Praktikum ,, ,"(Zustandsraum, Steuerbarkeit, Stabilisierung durch ",Seite 521   Inhaltsverzeichnis ,,"Th./ Capurro, R. (Hg.): Netzethik. Grundlegungsfragen der "
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Informatikgrundlagen für Ingenieure ,,der Vorlesung und Prüfungsvorbereitung56h Entwicklung eines ,Biomechanik (1 SWS) ,,"In der Lehrveranstaltung werden die Studenten befähigt, die ",Regelung)Elemente der linearen Algebra (Vektoren und ,     ,,"Internetethik. München, S.7-12; zitiert nach [Fili15, S. 7] "
,,,,,,,,,,, ,,Projektes in der Übung28h Final Projekt Bericht und ,4 ,,Finite-Element-Methode als Näherungsverfahren zur Lösung ,"Matrizen, Vektor-und Matrixoperationen, Basisvektoren und ", ,,"Kurz, C.; Rieger, F.: Arbeitsfrei. Eine Entdeckungsreise zu den "
,,,,,,,,,,, ,,Präsentation ,Voraussetzungen nach ,,"praxisrelevanter Aufgaben des Ingenieurwesens (Maschinenbau, ","Koordinatensysteme, Wechsel des Koordinatensystems, ",Für einen Schein: ,,"Maschinen, die uns ersetzen. Goldmann Verlag, München, 2015. "
,,,,,,,,,,,FIN: B.Sc. CV - WPF Computervisualistik ,, ,Prüfungsordnung: ,,"Automobil-bau, Werkzeugmaschinenbau, Luft- und Raumfahrt) ",Eigenwerte und –vektoren) ,Regelmäßige Teilnahme an Vorlesung und Übung ,,ohne Verfasser: Spielend auf dem Highway. Autonomes Fahren 
,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,, ,Technische Mechanik 1-4 ,,einzusetzen. , ,Für eine Prüfung oder benoteten Schein: ,,"ist das große Thema der Autokonzerne. In ADAC Motorwelt, "
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,4 SWS = 150h = 56h Präsenzzeit + 94h selbstständige Arbeit ,5 ,,Die Lehrveranstaltung konzentriert sich auf Problemen der , ,Regelmäßige Teilnahme an Vorlesung und Übung ,,"2015; S. 10. Reitz, M.: Norbert Wiener – Begründer der "
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Informatikgrundlagen für Ingenieure ,,Präsenzzeit: ,Voraussetzungen nach ,,Mechanik fester Körper unter Nutzung dreidimensionaler ,1. Was ist Verfahrenstechnik? ,"Schriftliche Prüfung, 120 Min. ",,"Kybernetik. SWR2 Wissen, 17. März 2014 "
,,,,,,,,,,,FIN: M.Sc. DKE - Applied Data Science ,,14h Vorlesung/14h Übung ,Prüfungsordnung: ,,Modelle (Volumen- und Schalenmodelle). ,"2. Waschmittel, Tenside und Pharmaka ", ,,"Schwägerl, C.: Offline ist so vorbei. Das Internet kommt uns "
,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Fundamentals ,,Selbständiges Arbeiten: , ,,In den Vorlesungen werden die wichtigsten theoretische ,3. Grundlagen der Modellierung und Simulation ,Mündliche Prüfung ,,"noch näher. In Zeit online, 03.05.2015. "
,,,,,,,,,,, ,,62h Vor- und Nachbereitung der Vorlesung und Übung ,6 ,,Grundlagen für das Verständnis der Modellbildung und die ,verfahrenstechnischer Prozesse – Was hat ein Informatiker mit , ,, 
,,,,,,,,,,, ,,Vorlesung 1 SWS = 14h Präsenzzeit + 31h selbständige Arbeit ,Voraussetzungen nach ,,"Bewertung der Ergebnisse (Fehleranalyse, Netzadaption) ",Verfahrenstechnik zu tun? ,Active participation in the exercisesOral examination ,, 
,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,,Übung 1 SWS = 14h Präsenzzeit + 31h selbstständige Arbeit ,Prüfungsordnung: ,,vermittelt. ,4. Absatzweise Destillation – vom Obst zum Schnaps , ,,Seite 242   Inhaltsverzeichnis 
,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,, , ,,In den Übungen wird der Stoff an Hand praktischer ,"„Mischen Impossible“ – Monte-Carlo-Simulation mit Wasser, Öl ", ,,     
,,,,,,,,,,,FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing ,,Präsenzzeit: ,4 ,,"Aufgabenstellungen vertieft, im Praktikum lösen die Studenten ",und Seife , ,, 
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,14h Vorlesung/14h Übung ,Voraussetzungen nach ,,"selbständig eine komplexere Aufgabenstellung, deren ","Modelle der Feststoffverfahrenstechnik – SolidSim, ",Aktive und erfolgreiche Teilnahme an den Übungen ,,"Simanowski, R.: Data Love. Matthes & Seitz, Berlin, 2014. "
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,Selbständiges Arbeiten: ,Prüfungsordnung: ,,erfolgreiche Bearbeitung eine Voraussetzung für die Zulassung ,"Porennetzwerke, Diskrete-Elemente-Methode ",Schriftliche Prüfung ,,"Vack, P.: Self-Drive Cars and You: A History Longer than You "
,,,,,,,,,,,FIN: M.Sc. CV - Bereich Informatik ,,62h Vor- und Nachbereitung der Vorlesung und Übung ,Teilnahme an Vorlesungen bzw. Übungen ,,zur Prüfung ist. ,„Informatik meets Verfahrenstechnik“ ProMoT – , ,,Think. VeloceToday.com - The Online Magazine for Italian and 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,,Vorlesung 1 SWS = 14h Präsenzzeit + 31h selbständige Arbeit ,Bestehen der mündlichen Prüfung ,, ,objektorientiertes Modellierungswerkzeug , ,,French Classic Car Enthusiasts. 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,Übung 1 SWS = 14h Präsenzzeit + 31h selbstständige Arbeit ,6 CP ,, , ,Praktikumsbericht ,,http://www.velocetoday.com/self-drive-cars-and-you-a-history-
,,,,,,,,,,,FIN: M.Sc. DKE - Learning Methods & Models for Data Science ,, , ,,Lernziele & erworbene Kompetenzen: , , ,,"longer-than-you-think/, 03.05.2015. "
,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Methods I ,,Projektvorlesung zu ausgewählten technischen Themen der IT ,Voraussetzungen nach ,,Die Teilnehmer erwerben Kenntnisse der wichtigsten Verfahren ,1. Inhaltliche Grundlagen ,"wissenschaftliches Projekt, beinhaltet Präsentation, Abgabe und ",,"Watzlawick, P.: Wie wirklich ist die Wirklichkeit? Wahn, "
,,,,,,,,,,,FIN: M.Sc. INF - Bereich Informatik ,,Sicherheit; Vergabe eines anspruchsvollen Themas zu ,Prüfungsordnung: ,,der Strömungsvisualisierung ,1.1. Begriffe und Prinzipien der Volkswirtschaftslehre ,Abnahme des Softwareentwicklungsprojekts ,,"Täuschung, Verstehen. Piper, München, Zürich, 2005. "
,,,,,,,,,,,FIN: M.Sc. INGINF - Bereich Informatik ,,selbständigen Bearbeitung und Lösung einer gestellten Aufgabe , ,,Einige Verfahren werden in den Übungen selbständig ,1.2. Grundlegende Methoden: Elemente der Entscheidungs- und , ,,Zeit Online GmbH: Forschungsprojekt: Das 1-Milliarde-Euro-
,,,,,,,,,,,FIN: M.Sc. VC - Computer Science ,,4 SWS = 2V + 2Ü (Labor) ,5 CP ,,implementiert und evaluiert ,Spieltheorie ,Prüfungsvorleistung  ,,"Hirn. http://www.zeit.de/2011/21/Kuenstliches-Gehirn, "
,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Informatik ,,Arbeitsaufwand: 180h (56 h Präsenzzeit + 124 h selbstständige , ,,"Die Teilnehmer sind imstande, einfache Strömungsdaten ",2. Elemente der Mikroökonomik ,Hausarbeit / Term paper ,,08.05.2015. 
,,,,,,,,,,, ,,Arbeit) ,Voraussetzungen nach ,,selbständig unter Zuhilfenahme vorhandener oder ,"2.1. Entscheidungen, Präferenzen, Nutzen ", ,, 
,,,,,,,,,,, ,,Hours of course attendance; ,Prüfungsordnung: ,,selbstentworfener Tools visuell zu analysieren. ,2.2. Haushaltstheorie , ,, 
,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,,2 SWS lecture , ,, , ,"Mündliche Prüfung, Referat ",, 
,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,2 SWS exercises ,18 ,, , , ,, 
,,,,,,,,,,,FIN: B.Sc. INF - WPF Technische Informatik ,,Hours of self study: ,Voraussetzungen nach ,,Seite 269   Inhaltsverzeichnis ,Seite 209   Inhaltsverzeichnis ,Teilnahme an den Lehrveranstaltungen; Prüfung am Ende des ,, 
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,124 h self study ,Prüfungsordnung: ,,     ,     ,"Moduls, Punktvergabe nach schriftlicher Klausur oder ",, 
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Technische Informatik ,,180 h = 56 h course attendance + 124 h self study , ,, , ,mündlicher Prüfung ,,Seite 243   Inhaltsverzeichnis 
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,, ,6 ,, ,2.3. Produktionstheorie , ,,     
,,,,,,,,,,, ,,Präsenzzeit: 3 SWS Seminar ,Voraussetzungen nach ,,Kenntnis über Forschungsmethoden und wissenschaftliches ,"2.4. Märkte: Angebot, Nachfrage, Elastizitäten ", ,, 
,,,,,,,,,,, ,,"Selbständiges Arbeiten: Lösung der Praktikumsaufgaben, ",Prüfungsordnung: ,,Schreiben ,2.5. Märkte: Wohlstand und Markteffizienz , ,,"Richard Dawkins. The Selfish Gene. Oxford University Press, "
,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,,Vorbereiten des Referats , ,, ,2.6. Marktformen ,Klausur (60 Minuten) ,,"Oxford, UK, 1990. (deutsche Ausgabe: „Das egoistische Gen“. "
,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,,120 h (42 h Präsenzzeit + 78 h selbständige Arbeit) ,3 ,,Lernziele & zu erwerbende Kompetenzen: ,2.7. Ökonomik des öffentlichen Sektors , ,,"Rowohlt, Hamburg, 1996)Richard Dawkins. The Blind "
,,,,,,,,,,,FIN: B.Sc. INGINF - Pflichtfächer ,,"Präsenzzeiten: Vorlesung 2 SWS, Übung 1 SWS selbständiges ",Voraussetzungen nach ,,Kompetenz zur algorithmischen Lösung fortgeschrittener ,3. Elemente der Makroökonomik ,"Leistungen: CAD-Übungstestat (90 min), ",,"Watchmaker. Penguin Books, London, UK, 1996. (deutsche "
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,"Arbeiten, Literatur, Prüfungsvorbereitung ",Prüfungsordnung: ,,Themen der Bildanalyse im radiologisch-medizinischem Umfeld ,3.1. Begriffe und Kennzahlen ,Prüfung: schriftlich (120 min) ,,"Ausgabe: „Der blinde Uhrmacher“. dtv, München, 1996) "
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Informatikgrundlagen für Ingenieure ,,Präsenzzeiten: , ,,"Fähigkeit zu Projektdurchführung in der Verarbeitung digitaler, ",3.2. Produktion und Wachstum , ,,"Ines Gerdes, Frank Klawonn, Rudolf Kruse. Evolutionäre Al-"
,,,,,,,,,,,FIN: M.Sc. DKE - Fundamentals of Data Science ,,6 SWS Wöchentliche Vorlesungen und Übungen ,5 ,,radiologischer oder nuklearmedizinischer Bilder ,3.3. Sparen und Investieren ,Teilnahme an Vorlesungen und Übungen (mind. 75%). Klausur ,,"gorithmen. Vieweg Verlag, Wiesbaden, 2004. "
,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Models ,,Selbstständiges Arbeiten ,Voraussetzungen nach ,, , ,(120 min) ,,Zbigniew Michalewic. Genetic Algorithms + Data Structures = 
,,,,,,,,,,, ,,240 h (84 h Präsenzzeit + 156 h selbstständige Arbeit) ,Prüfungsordnung: ,, ,Definition und Einordnung der , ,,"Evolution Programs. Springer Verlag, Berlin, 1998. "
,,,,,,,,,,, ,,Präsenzzeiten: , ,,Seite 272   Inhaltsverzeichnis ,WirtschaftsinformatikBerufsbilder für Wirtschaftsinformatiker ,Prüfungsvorleistung erforderlich ,,Volker Nissen. Einführung in evolutionäre Algorithmen. Opti-
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Informatikgrundlagen für Ingenieure ,,Wöchentliche Vorlesung: 2 SWS ,5 ,,     ,Wirtschaftsinformatik als Wissenschaft , ,,"mierung nach dem Vorbild der Evolution. Vieweg Verlag, "
,,,,,,,,,,, ,,Wöchentliche Übung: 2 SWS , ,, ,Grundbegriffe der Wirtschaftsinformatik , ,,"Braunschweig / Wiesbaden, 1997. "
,,,,,,,,,,, ,,Selbstständiges Arbeiten: ,Voraussetzungen nach ,,Fähigkeit zur Präsentation und Verteidigung eigener , ,Seite 544   Inhaltsverzeichnis ,, 
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Verstehen & Gestalten ,,Nachbereitung der Vorlesung ,Prüfungsordnung: ,,Arbeitsergebnisse , ,     ,, 
,,,,,,,,,,, ,,Anfertigung von Belegen ,Grundkenntnisse der Informatik und Softwareentwicklung ,, ,Seite 211   Inhaltsverzeichnis , ,, 
,,,,,,,,,,, ,,150 h = 4 SWS = 56 h Präsenzzeit + 94 h selbstständige Arbeit ,5 ,, ,     ,"Prüfung: schriftliche Klausur, 120 Minuten ",, 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Methoden der Informatik ,, ,Voraussetzungen nach ,,In-depth understanding of concepts of functional programming , , ,, 
,,,,,,,,,,,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,,Präsenzzeiten: ,Prüfungsordnung: ,,In-depth knowledge of Haskell insights into the role of ,Anforderungsmanagement ,Prüfungsvorleistung: Das erfolgreiche Absolvieren der  ,, 
,,,,,,,,,,,FIN: M.Sc. DKE - Applied Data Science ,,2 SWS Vorlesung , ,,functional concepts in other programming languages (e.g. ,Modellierung von betriebswirtschaftlichen Strukturen und ,Semesteraufgabe ermöglicht den Studierenden die Teilnahme ,,Seite 245   Inhaltsverzeichnis 
,,,,,,,,,,,FIN: M.Sc. DKE (alt) - Bereich Applications ,,2 SWS Übung ,5 ,,"Python, Java, Javascript) ",Prozessen ,an der  mündlichen Prüfung  Prüfung: mündliche Prüfung ,,     
,,,,,,,,,,,FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik ,,Selbstständiges Arbeiten: ,Voraussetzungen nach ,,Insights into the role of functional concepts in applications ,Erarbeitung von betriebswirtschaftlichen Problemlösungen mit , ,, 
,,,,,,,,,,, ,,"Belegaufgaben, Prüfungsvorbereitung ",Prüfungsordnung: ,, ,Endbenutzerwerkzeugen ,Prüfungsvorleistung: Das erfolgreiche Absolvieren der  ,,"- Deb, Kalyanmoy. Multi-Objective Optimization Using "
,,,,,,,,,,, ,,150 h (56 h Präsenzzeit + 94 h selbstständige Arbeit) , ,, , ,Semesteraufgabe ermöglicht den Studierenden die Teilnahme ,,"Evolutionary Algorithms, Wiley, 2001. "
,,,,,,,,,,,FIN: B.Sc. CV - WPF Informatik ,, ,5 ,,Anwendung von adäquaten Modellierungstechniken zum ,Entwicklungsgeschichte der ComputerspieleAufbau der ,an der  mündlichen Prüfung ,,"- Coello, Carlos A. Coello, Gary B. Lamont, and David A. Van "
,,,,,,,,,,,FIN: B.Sc. INF - WPF Informatik ,, ,Voraussetzungen nach ,, ,"Spieleindustrie (Developer, Publisher, Berufszweige) ", Prüfung: mündliche Prüfung ,,Veldhuizen. Evolutionary algorithms for solving multi-objective 
,,,,,,,,,,,FIN: B.Sc. INF - Studienprofil - ForensikDesign@Informatik ,,Präsenzzeiten: ,Prüfungsordnung: ,, ,Produktionsweise von Spielen (Vier-Phasen-Modell) , ,,"problems. Vol. 5. New York: Springer, 2007. "
,,,,,,,,,,,FIN: B.Sc. INGINF - WPF Informatik ,,2 SWS Vorlesung , ,,Seite 276   Inhaltsverzeichnis ,Einführung in den technischen Aufbau von Spielen (Engine-,mündliche Prüfung ,,"- Miettinen, Kaisa. Nonlinear multiobjective optimization. Vol. "
,,,,,,,,,,,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,,1 SWS Übung ,5 ,,     ,"Konzept, Komponenten) ", ,,"12. Springer Science & Business Media, 2012. "
,,,,,,,,,,, ,,Selbstständiges Arbeiten: ,Voraussetzungen nach ,, ,"Entwicklungswerkzeuge (Engine, Autorensysteme, Tools) ","Schriftliche Ausarbeitung (10 bis 20 DIN-A4 Seiten, genaue ",,"- Ehrgott, Matthias. Multicriteria optimization. Vol. 491. Springer "
,,,,,,,,,,, ,,Nachbereitung der Vorlesung ,Prüfungsordnung: ,,Entwurf von Fuzzy-Systemen ,Spielegenres ,Bedingungen werden zu Vorlesungsbeginn bekannt gegeben) ,,"Science & Business Media, 2005. "
,,,,,,,,,,,FIN: B.Sc. CV - Pflichtfächer ,,Anfertigung von Belegen150 h = 3 SWS = 42 h Präsenzzeit + 108 ,nachweisbare Kenntnisse in einem High-End CAx-System ,,"Anwendung der Methoden der Fuzzy-Datenanalyse, und des  ",Grundlagen des Game Design ,Vorleistung: Themenbezogene Zwischen- und ,,"- Kruse, Rudolf, et al. Computational intelligence: a "
,,,,,,,,,,,FIN: B.Sc. INF - Pflichtfächer ,,h selbstständige Arbeit ,5 ,,Fuzzy-Regellernens ,Komponenten eines Spiels: Main Loop und Architektur ,Abschlusspräsentation ,,"methodological introduction. Springer, 2016. "
,,,,,,,,,,,FIN: B.Sc. INGINF - Pflichtfächer ,, ,Voraussetzungen nach ,,Befähigung zur Entwicklung von Fuzzy-Systemen ,Komponenten eines Spiels: Graphik & Animation , ,, 
,,,,,,,,,,,FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen ,,Präsenzzeiten ,Prüfungsordnung: ,, ,Komponenten eines Spiels: Physik ,Referat: Erfolgreiche Paper und review submission (Hausarbeit) ,, 
,,,,,,,,,,,WPF KWL ,,2 SWS Vorlesung , ,,Die Studierenden sollen in der Lage sein Ideen für Spiele zu ,Komponenten eines Spiels: KI ,Erfolgreiche Abschlusspräsentation ,, 
,,,,,,,,,,,"B, WI 1.2 ",,2 SWS Übung/Tutorium ,6 ,,Konzepten weiterzuentwickeln. Sie kennen die wichtigsten ,Computerspiele und Gesellschaft , ,, 
,,,,,,,,,,,WI 2.1 ,,Selbständiges Arbeiten:Lösen von Übungs- und ,Voraussetzungen nach ,,"Bestandteile eines Spiels und wissen, wie sich Änderungen an ", ,Prüfungsvoraussetzung: Anmeldung und Teilnahme an ,, 
,,,,,,,,,,,WI 2.2 ,,TutorenaufgabenPrüfungsvorbereitung ,Prüfungsordnung: ,,den Komponenten auf das Spiel auswirken. Sie erlernen , ,Vorlesung und Übungen ,,Seite 248   Inhaltsverzeichnis 
,,,,,,,,,,, ,,180 h (56 h Präsenzzeit + 124 h selbständige Ar-beit) , ,,Methoden und Techniken zur Analyse und Verbesserung ihrer ,Grundlagen zu Managementsystemen ,Prüfung/ Schein: schriftlich (120 min) ,,     
,,,,,,,,,,, ,,Präsenzzeiten: 60 h Projekt ,6 ,,Spielkonzepte sowie Techniken zur Unterstützung bei Design ,Managementinformationssysteme als Informationssysteme für , ,, 
,,,,,,,,,,,FIN: B.Sc. CV - Pflichtfächer ,,Vor- und Nachbearbeitung des Projektes ,Voraussetzungen nach ,,Entscheidungen. Die Studierenden erlangen grundlegendes ,Managementsysteme ,Klausur (60 Minuten) ,,siehe https://iwebdav.ifn-
,,,,,,,,,,,FIN: B.Sc. INF - Pflichtfächer ,,90h = 60h Präsenzzeit + 30h selbstständige Arbeit ,Prüfungsordnung: ,,"Wissen in den Bereichen des Welt-, Charakter- und ",Methoden zur Konzipierung und Realisierung von , ,,magdeburg.de/iwebdav/LearningAndMemorySeminar/ 
,,,,,,,,,,,FIN: B.Sc. INGINF - Pflichtfächer ,, , ,,Rätseldesigns und sind in der Lage dieses Wissen Praktisch ,Managementinformationssystemen ,Prüfung: mündlich ,, 
,,,,,,,,,,,FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen ,,Präsenzzeit = 56 Stunden: ,"2,5 ",,umzusetzen. Sie beherrschen Techniken zur Dokumentation und ,Metainformation in Managementinformationssystemen , ,, 
